geographic_Region,population,surface_area_km,pop_density_km,,
Provincia Santiago,963422.00,2806.30,343.00,,
Municipio Santiago,691262.00,474.10,1458.00,,
Santiago,591985.00,165.00,3587.00,,
Pedro García (D.M.),4006.00,52.60,76.00,,
Baitoa (D.M.),11778.00,42.90,275.00,,
La Canela (D.M.),17067.00,93.40,183.00,,
San Francisco de Jacagua (D.M.),36902.00,82.30,448.00,,
Hato del Yaque (D.M.),29524.00,38.00,777.00,,
Municipio Bisonó,42092.00,92.60,454.00,,
Bisonó,42092.00,92.60,454.00,,
Municipio Jánico,16993.00,403.20,42.00,,
Jánico,7672.00,125.70,61.00,,
Juncalito (D.M.),4215.00,178.10,24.00,,
El Caimito (D.M.),5106.00,99.40,51.00,,
Municipio Licey al Medio,25539.00,27.00,946.00,,
Licey al Medio,13147.00,14.70,897.00,,
Las Palomas (D.M.),12392.00,12.30,1005.00,,
Municipio San José de las Matas,38628.00,1518.80,25.00,,
San José de las Matas,23850.00,675.10,35.00,,
El Rubio (D.M.),7201.00,584.60,12.00,,
La Cuesta (D.M.),3622.00,111.70,32.00,,
Las Placetas (D.M.),3955.00,147.50,27.00,,
Municipio Tamboril,51695.00,70.60,732.00,,
Tamboril,39700.00,45.00,882.00,,
Canca La Piedra (D.M.),11995.00,25.60,469.00,,
Municipio Villa González,37349.00,100.80,371.00,,
Villa González,27304.00,56.00,487.00,,
Palmar Arriba (D.M.),6365.00,12.50,508.00,,
El Limón (D.M.),3680.00,32.30,114.00,,
Municipio Puñal,46516.00,60.80,765.00,,
Puñal,23856.00,23.90,998.00,,
Guayabal (D.M.),11509.00,29.00,396.00,,
Canabacoa (D.M.),11151.00,7.80,1421.00,,
Municipio Sabana Iglesia,13348.00,58.30,229.00,,
Sabana Iglesia,13348.00,58.30,229.00,,
Región Cibao Sur,710821.00,4470.30,159.00,,
Provincia La Vega,394205.00,2292.40,172.00,,
Municipio La Vega,248089.00,642.10,386.00,,
La Vega,202864.00,410.90,494.00,,
Río Verde Arriba (D.M.),23109.00,67.20,344.00,,
El Ranchito (D.M.),9626.00,48.00,200.00,,
Tavera (D.M.),12490.00,115.90,108.00,,
Municipio Constanza,59052.00,850.40,69.00,,
Constanza,34687.00,261.70,133.00,,
Tireo (D.M.),15349.00,295.30,52.00,,
La Sabina (D.M.),9016.00,293.40,31.00,,
Municipio Jarabacoa,56803.00,673.90,84.00,,
Jarabacoa,40556.00,313.60,129.00,,
Buena Vista (D.M.),12232.00,98.00,125.00,,
Manabao (D.M.),4015.00,262.40,15.00,,
Municipio Jima Abajo,30261.00,126.10,240.00,,
Jima Abajo,16267.00,58.00,280.00,,
Rincón (D.M.),13994.00,68.10,206.00,,
Provincia Sánchez Ramírez,151392.00,1185.80,128.00,,
Municipio Cotuí,76554.00,661.30,116.00,,
Cotuí,64133.00,474.60,135.00,,
Quita Sueño (D.M.),3531.00,23.40,151.00,,
Caballero (D.M.),2521.00,53.90,47.00,,
Comedero Arriba (D.M.),2699.00,47.80,56.00,,
Platanal  (D.M.),3670.00,61.60,60.00,,
Municipio Cevicos,13759.00,245.20,56.00,,
Cevicos,8693.00,199.00,44.00,,
La Cueva (D.M.),5066.00,46.20,110.00,,
Municipio Fantino,22117.00,89.00,249.00,,
Fantino,22117.00,89.00,249.00,,
Municipio La Mata,38962.00,190.30,205.00,,
La Mata,13040.00,36.40,358.00,,
La Bija (D.M.),9748.00,34.80,280.00,,
Angelina (D.M.),11589.00,40.90,283.00,,
Hernando Alonzo (D.M.),4585.00,78.10,59.00,,
Provincia Monseñor Nouel,165224.00,992.00,167.00,,
Municipio Bonao,125338.00,678.10,185.00,,
Bonao,76241.00,142.80,534.00,,
Sabana del Puerto (D.M.),10049.00,133.10,75.00,,
Juma Bejucal (D.M.),22545.00,72.20,312.00,,
Arroyo  Toro - Masipedro (D.M.),2851.00,103.10,28.00,,
Jayaco (D.M.),8051.00,29.50,273.00,,
La Salvia - Los Quemados (D.M.),5601.00,197.40,28.00,,
Municipio Maimón,18952.00,82.60,230.00,,
Maimón,18952.00,82.60,230.00,,
Municipio Piedra Blanca,20934.00,231.40,90.00,,
Piedra Blanca,10615.00,117.60,90.00,,
Villa de Sonador (D.M.),7028.00,53.20,132.00,,
Juan Adrián (D.M.),3291.00,60.50,54.00,,
Región Cibao Nordeste,624186.00,4146.20,151.00,,
Provincia Duarte,289574.00,1649.50,176.00,,
Municipio San Francisco de Macorís,188118.00,759.50,248.00,,
San Francisco de Macorís,149508.00,284.50,526.00,,
La Peña (D.M.),11452.00,248.60,46.00,,
Cenoví (D.M.),14689.00,92.10,160.00,,
Jaya (D.M.),5471.00,95.80,57.00,,
Presidente Don Antonio Guzmán Fernández (D.M.),6998.00,38.60,181.00,,
Municipio Arenoso,14062.00,144.70,97.00,,
Arenoso,4284.00,7.80,548.00,,
Las Coles (D.M.),6301.00,90.70,69.00,,
El Aguacate (D.M.),3477.00,46.20,75.00,,
Municipio Castillo,15709.00,133.10,118.00,,
Castillo,15709.00,133.10,118.00,,
Municipio Pimentel,17864.00,121.40,147.00,,
Pimentel,17864.00,121.40,147.00,,
Municipio Villa Riva,33663.00,321.40,105.00,,
Villa Riva,10557.00,94.70,112.00,,
Agua Santa del Yuna  (D.M.),5175.00,37.10,139.00,,
Cristo Rey de Guaraguao (D.M.),5335.00,78.50,68.00,,
Las Taranas (D.M.),9833.00,86.10,114.00,,
Barraquito (D.M.),2763.00,25.00,110.00,,
Municipio Las Guáranas,14661.00,89.90,163.00,,
Las Guáranas,14661.00,89.90,163.00,,
Municipio Eugenio María de Hostos,5497.00,79.40,69.00,,
Eugenio María de Hostos,4123.00,61.20,67.00,,
Sabana Grande (D.M.),1374.00,18.20,76.00,,
Provincia María Trinidad Sánchez,140925.00,1206.50,117.00,,
Municipio Nagua,76993.00,545.00,141.00,,
Nagua,40611.00,47.60,853.00,,
San José de Matanzas (D.M.),10586.00,120.90,88.00,,
Las Gordas (D.M.),15359.00,151.60,101.00,,
Arroyo al Medio (D.M.),10437.00,224.80,46.00,,
Municipio Cabrera,24524.00,270.50,91.00,,
Cabrera,13371.00,158.40,84.00,,
Arroyo Salado (D.M.),7119.00,62.20,114.00,,
La Entrada (D.M.),4034.00,49.90,81.00,,
Municipio El Factor,24240.00,146.70,165.00,,
El Factor,13557.00,96.90,140.00,,
El Pozo (D.M.),10683.00,49.80,215.00,,
Municipio Río San Juan,15168.00,244.30,62.00,,
Río San Juan,15168.00,244.30,62.00,,
Provincia Hermanas Mirabal,92193.00,427.40,216.00,,
Municipio Salcedo,39557.00,177.10,223.00,,
Salcedo,35306.00,84.20,419.00,,
Jamao Afuera (D.M.),4251.00,92.80,46.00,,
Municipio Tenares,27765.00,158.90,175.00,,
Tenares,22922.00,92.70,247.00,,
Blanco (D.M.),4843.00,66.20,73.00,,
Municipio Villa Tapia,24871.00,91.40,272.00,,
Villa Tapia,24871.00,91.40,272.00,,
Provincia Samaná,101494.00,862.80,118.00,,
Municipio Samaná,58156.00,410.80,142.00,,
Samaná,33196.00,212.60,156.00,,
El Limón  (D.M.),7024.00,34.30,205.00,,
Arroyo Barril (D.M.),11007.00,33.80,325.00,,
Las Galeras (D.M.),6929.00,130.10,53.00,,
"Municipio Sánchez                                                                 24,509",,340.10,72.00,,
"Sánchez                                                                            24,509",,340.10,72.00,,
"Municipio Las Terrenas                                                           18,829",,111.90,168.00,,
"Las Terrenas                                                                      18,829",,111.90,168.00,,
Región Cibao Noroeste,394068.00,4877.60,81.00,,
Provincia Dajabón,63955.00,1021.30,63.00,,
Municipio Dajabón,28071.00,261.00,108.00,,
Dajabón,25245.00,220.80,114.00,,
Cañongo (D.M.),2826.00,40.20,70.00,,
Municipio Loma de Cabrera,15624.00,246.00,64.00,,
Loma de Cabrera,10893.00,140.00,78.00,,
Capotillo (D.M.),2112.00,57.10,37.00,,
Santiago de la Cruz (D.M.),2619.00,48.90,54.00,,
Municipio Partido,6951.00,149.80,46.00,,
Partido,6951.00,149.80,46.00,,
Municipio Restauración,7274.00,276.60,26.00,,
Restauración,7274.00,276.60,26.00,,
Municipio El Pino,6035.00,87.90,69.00,,
El Pino,4236.00,43.90,96.00,,
Manuel Bueno (D.M.),1799.00,44.00,41.00,,
Provincia Monte Cristi,109607.00,1885.80,58.00,,
Municipio Monte Cristi,24644.00,517.40,48.00,,
Monte Cristi,24644.00,517.40,48.00,,
Municipio Castañuelas,14921.00,86.80,172.00,,
Castañuelas,9468.00,50.60,187.00,,
Palo Verde (D.M.),5453.00,36.10,151.00,,
Municipio Guayubín,35923.00,834.00,43.00,,
Guayubín,12464.00,263.30,47.00,,
Villa Elisa (D.M.),7430.00,215.40,34.00,,
Hatillo Palma (D.M.),8802.00,133.30,66.00,,
Cana Chapetón (D.M.),7227.00,222.00,33.00,,
Municipio Las Matas de Santa Cruz,10559.00,71.90,147.00,,
Las Matas de Santa Cruz,10559.00,71.90,147.00,,
Municipio Pepillo Salcedo,9136.00,151.20,60.00,,
Pepillo Salcedo (Manzanillo),9136.00,151.20,60.00,,
Municipio Villa Vásquez,14424.00,224.60,64.00,,
Villa Vásquez,14424.00,224.60,64.00,,
Provincia Santiago Rodríguez,57476.00,1147.50,50.00,,
Municipio San Ignacio de Sabaneta,34540.00,801.40,43.00,,
San Ignacio de Sabaneta,34540.00,801.40,43.00,,
Municipio Villa Los Almácigos,11183.00,207.20,54.00,,
Villa Los Almácigos,11183.00,207.20,54.00,,
Municipio Monción,11753.00,138.90,85.00,,
Monción,11753.00,138.90,85.00,,
Provincia Valverde,163030.00,822.90,198.00,,
Municipio Mao,76863.00,415.20,185.00,,
Mao,51647.00,116.30,444.00,,
Amina (D.M.),8270.00,116.20,71.00,,
Jaibón (Pueblo Nuevo) (D.M.),8309.00,73.20,114.00,,
Guatapanal (D.M.),8637.00,109.50,79.00,,
Municipio Esperanza,62205.00,221.70,281.00,,
Esperanza,43755.00,63.80,686.00,,
Maizal (D.M.),9859.00,66.40,148.00,,
Jicomé (D.M.),3047.00,33.30,92.00,,
Boca de Mao (D.M.),4493.00,31.90,141.00,,
Paradero (D.M.),1051.00,26.20,40.00,,
Municipio Laguna Salada,23962.00,186.10,129.00,,
Laguna Salada,10425.00,41.90,249.00,,
Jaibón (D.M.),5967.00,43.90,136.00,,
La Caya (D.M.),1458.00,58.10,25.00,,
Cruce de Guayacanes (D.M.),6112.00,42.20,145.00,,
Región Valdesia,1028129.00,5561.80,185.00,,
Provincia Azua,214311.00,2682.50,80.00,,
Municipio Azua,91345.00,416.30,219.00,,
Azua,59319.00,14.40,4113.00,,
Barro Arriba (D.M.),5262.00,35.80,147.00,,
Las Barías-la Estancia (D.M.),6882.00,13.50,509.00,,
Los Jovillos (D.M.),5962.00,46.90,127.00,,
Puerto Viejo (D.M.),2194.00,56.10,39.00,,
Barreras (D.M.),2364.00,97.80,24.00,,
Doña Emma Balaguer viuda Vallejo (D.M.),2759.00,8.20,337.00,,
Clavellina (D.M.),2672.00,44.60,60.00,,
Las Lomas (D.M.),3931.00,99.00,40.00,,
Municipio Las Charcas,11243.00,247.00,46.00,,
Las Charcas,8191.00,187.60,44.00,,
Palmar de Ocoa (D.M.),3052.00,59.40,51.00,,
Municipio Las Yayas de Viajama,17620.00,431.10,41.00,,
Las Yayas de Viajama,6358.00,91.10,70.00,,
Villarpando (D.M.),7160.00,154.80,46.00,,
Hato Nuevo Cortés (D.M.),4102.00,185.20,22.00,,
Municipio Padre Las Casas,20041.00,573.90,35.00,,
Padre Las Casas,8487.00,128.00,66.00,,
Las Lagunas (D.M.),4290.00,247.90,17.00,,
La Siembra (D.M.),1538.00,37.60,41.00,,
Monte Bonito (D.M.),3291.00,114.30,29.00,,
Los Fríos (D.M.),2435.00,46.10,53.00,,
Municipio Peralta,15257.00,129.40,118.00,,
Peralta,15257.00,129.40,118.00,,
Municipio Sabana Yegua,19020.00,113.80,167.00,,
Sabana Yegua,10313.00,1.60,6268.00,,
Proyecto 4 (D.M.),3584.00,13.30,270.00,,
Ganadero (D.M.),2240.00,3.20,708.00,,
Proyecto 2-C (D.M.),2883.00,95.70,30.00,,
Municipio Pueblo Viejo,11235.00,48.10,233.00,,
Pueblo Viejo,7191.00,34.50,209.00,,
El Rosario (D.M.),4044.00,13.60,296.00,,
Municipio Tábara Arriba,17647.00,274.70,64.00,,
Tábara Arriba,3066.00,17.00,180.00,,
Tábara Abajo (D.M.),5423.00,165.00,33.00,,
Amiama Gómez (D.M.),2765.00,15.40,180.00,,
Los Toros (D.M.),6393.00,77.30,83.00,,
Municipio Guayabal,5263.00,235.60,22.00,,
Guayabal,5263.00,235.60,22.00,,
Municipio Estebanía,5640.00,212.70,27.00,,
Estebanía,5640.00,212.70,27.00,,
"Provincia, municipio y distrito municipal",Población,Superficie en km²,Habitante/km²,,
Provincia Peravia,184344.00,785.20,235.00,,
Municipio Baní,157316.00,740.90,212.00,,
Baní,92153.00,363.30,254.00,,
Matanzas (D.M.),16622.00,118.80,140.00,,
Villa Fundación (D.M.),8811.00,84.80,104.00,,
Sabana Buey (D.M.),2194.00,36.10,61.00,,
Paya (D.M.),14133.00,34.10,415.00,,
Villa Sombrero (D.M.),7954.00,13.30,598.00,,
El Carretón (D.M.),4594.00,14.70,312.00,,
Catalina (D.M.),3436.00,15.00,229.00,,
El Limonal (D.M.),4997.00,45.60,110.00,,
Las Barías (D.M.),2422.00,15.10,160.00,,
Municipio Nizao,27028.00,44.30,610.00,,
Nizao,13240.00,17.90,741.00,,
Pizarrete (D.M.),6369.00,12.20,521.00,,
Santana (D.M.),7419.00,14.30,521.00,,
Provincia San Cristóbal,569930.00,1240.60,459.00,,
Municipio San Cristóbal,232769.00,212.60,1095.00,,
San Cristóbal,216875.00,153.60,1412.00,,
Hato Damas (D.M.),15894.00,59.10,269.00,,
Municipio Sabana Grande de Palenque,15466.00,30.00,515.00,,
Sabana Grande de Palenque,15466.00,30.00,515.00,,
Municipio Bajos de Haina,124193.00,39.70,3130.00,,
Bajos de Haina,83582.00,12.70,6585.00,,
El Carril (D.M.),40611.00,27.00,1505.00,,
Municipio Cambita Garabitos,31057.00,172.80,180.00,,
Cambita Garabitos,20655.00,136.90,151.00,,
Cambita el Pueblecito (D.M.),10402.00,35.80,290.00,,
Municipio Villa Altagracia,84312.00,426.20,198.00,,
Villa Altagracia,53576.00,173.60,309.00,,
San José del Puerto (D.M.),14493.00,124.70,116.00,,
Medina (D.M.),7066.00,31.90,221.00,,
La Cuchilla (D.M.),9177.00,95.90,96.00,,
Municipio Yaguate,42325.00,122.30,346.00,,
Yaguate,42325.00,122.30,346.00,,
Municipio San Gregorio de Nigua,30268.00,51.10,592.00,,
San Gregorio de Nigua,30268.00,51.10,592.00,,
Municipio Los Cacaos,9540.00,185.90,51.00,,
Los Cacaos,9540.00,185.90,51.00,,
Provincia San José de Ocoa,59544.00,853.40,70.00,,
Municipio San José de Ocoa,39451.00,484.80,81.00,,
San José de Ocoa,25710.00,82.40,312.00,,
La Ciénaga (D.M.),4128.00,126.50,33.00,,
Nizao - Las Auyamas (D.M.),2791.00,92.70,30.00,,
El Pinar (D.M.),3736.00,154.70,24.00,,
El Naranjal (D.M.),3086.00,28.50,108.00,,
Municipio Sabana Larga,9794.00,163.60,60.00,,
Sabana Larga,9794.00,163.60,60.00,,
Municipio Rancho Arriba,10299.00,205.00,50.00,,
Rancho Arriba,10299.00,205.00,50.00,,
Región Enriquillo,368594.00,7033.00,52.00,,
Provincia Baoruco,97313.00,1284.90,76.00,,
Municipio Neiba,36511.00,282.30,129.00,,
Neiba,27105.00,203.80,133.00,,
EL Palmar  (D.M.),9406.00,78.50,120.00,,
Municipio Galván,15702.00,281.50,56.00,,
Galván,13217.00,156.00,85.00,,
El salado  (D.M.),2485.00,125.50,20.00,,
Municipio Tamayo,26772.00,434.30,62.00,,
Tamayo,7718.00,121.40,64.00,,
Uvilla (D.M.),2991.00,2.30,1321.00,,
Santana (D.M.),5712.00,65.20,88.00,,
Monserrate (Montserrat) (D.M.),3312.00,16.50,201.00,,
Cabeza de Toro (D.M.),1864.00,207.90,9.00,,
Mena (D.M.),2395.00,6.80,350.00,,
Santa Bárbara el 6 (D.M.),2780.00,14.20,196.00,,
Municipio Villa Jaragua,10619.00,137.20,77.00,,
Villa Jaragua,10619.00,137.20,77.00,,
Municipio Los Rìos,7709.00,149.50,52.00,,
Los Ríos,5771.00,101.00,57.00,,
Las Clavellinas (D.M.),1938.00,48.40,40.00,,
Provincia Barahona,187105.00,1660.20,113.00,,
Municipio Barahona,83619.00,168.60,496.00,,
Barahona,62054.00,76.10,815.00,,
EL Cachón (D.M.),2046.00,35.70,57.00,,
La Guázara (D.M.),1892.00,52.60,36.00,,
Villa Central  (D.M.),17627.00,4.20,4152.00,,
Municipio Cabral,14823.00,121.60,122.00,,
Cabral,14823.00,121.60,122.00,,
Municipio Enriquillo,13164.00,328.00,40.00,,
Enriquillo,10620.00,76.30,139.00,,
Arroyo Dulce (D.M.),2544.00,251.70,10.00,,
Municipio Paraíso,15390.00,136.20,113.00,,
Paraíso,11235.00,86.10,130.00,,
Los Patos (D.M.),4155.00,50.10,83.00,,
Municipio Vicente Noble,21605.00,246.30,88.00,,
Vicente Noble,11433.00,4.90,2333.00,,
Canoa (D.M.),3978.00,96.00,41.00,,
Quita Coraza (D.M.),2794.00,75.40,37.00,,
Fondo Negro (D.M.),3400.00,70.00,49.00,,
Municipio El Peñón,3970.00,41.80,95.00,,
El Peñón,3970.00,41.80,95.00,,
Municipio La Ciénaga,9112.00,116.90,78.00,,
La Ciénaga,4376.00,48.80,90.00,,
Baoruco (D.M.),4736.00,68.00,70.00,,
Municipio Fundación,8042.00,52.20,154.00,,
Fundación,3414.00,17.90,190.00,,
Pescadería (D.M.),4628.00,34.30,135.00,,
Municipio Las Salinas,4703.00,126.60,37.00,,
Las Salinas,4703.00,126.60,37.00,,
Municipio Polo,8186.00,206.70,40.00,,
Polo,8186.00,206.70,40.00,,
Municipio Jaquimeyes,4491.00,115.30,39.00,,
Jaquimeyes,3530.00,105.70,33.00,,
Palo Alto (D.M.),961.00,9.50,101.00,,
Provincia Independencia,52589.00,2007.40,26.00,,
Municipio Jimaní,16510.00,546.60,30.00,,
Jimaní,10034.00,200.60,50.00,,
El Limón (D.M.),3381.00,144.20,23.00,,
Boca de Cachón (D.M.),3095.00,201.80,15.00,,
Municipio Duvergé,12029.00,533.70,23.00,,
Duvergé,9321.00,353.30,26.00,,
Vengan a Ver (D.M.),2708.00,180.50,15.00,,
Municipio La Descubierta,8310.00,215.50,39.00,,
La Descubierta,8310.00,215.50,39.00,,
Municipio Postrer Río,5668.00,164.30,35.00,,
Postrer Río,3596.00,92.00,39.00,,
Guayabal (D.M.),2072.00,72.30,29.00,,
Municipio Cristóbal,6431.00,158.90,40.00,,
Cristóbal,2501.00,0.60,4200.00,,
Batey 8 (D.M.),3930.00,158.30,25.00,,
Municipio Mella,3641.00,388.50,9.00,,
Mella,2501.00,263.00,10.00,,
La Colonia (D.M.),1140.00,125.50,9.00,,
Provincia Pedernales,31587.00,2080.50,15.00,,
Municipio Pedernales,24291.00,1120.90,22.00,,
Pedernales,14590.00,883.80,17.00,,
José Francisco Peña Gómez (D.M.),9701.00,237.10,41.00,,
Municipio Oviedo,7296.00,959.60,8.00,,
Oviedo,3544.00,806.40,4.00,,
Juancho (D.M.),3752.00,153.20,24.00,,
Región El Valle,295362.00,4759.30,62.00,,
Provincia Elías Piña,63029.00,1395.50,45.00,,
Municipio Comendador,25924.00,256.20,101.00,,
Comendador,19344.00,126.90,152.00,,
Sabana Larga (D.M.),2056.00,101.10,20.00,,
Guayabo  (D.M.),4524.00,28.10,161.00,,
Municipio Bánica,6533.00,266.30,25.00,,
Bánica,2112.00,67.30,31.00,,
Sabana Cruz (D.M.),2154.00,68.20,32.00,,
Sabana Higüero (D.M.),2267.00,130.70,17.00,,
Municipio El Llano,8344.00,100.00,83.00,,
El Llano,4193.00,17.10,245.00,,
Guanito (D.M.),4151.00,82.80,50.00,,
Municipio Hondo Valle,10587.00,122.60,86.00,,
Hondo Valle,7194.00,78.70,91.00,,
Rancho de la Guardia (D.M.),3393.00,43.90,77.00,,
Municipio Pedro Santana,7281.00,548.30,13.00,,
Pedro Santana,3917.00,236.10,17.00,,
Río Limpio (D.M.),3364.00,312.20,11.00,,
Municipio Juan Santiago,4360.00,102.20,43.00,,
Juan Santiago,4360.00,102.20,43.00,,
Provincia San Juan,232333.00,3363.80,69.00,,
Municipio San Juan,132177.00,1728.00,76.00,,
San Juan,78313.00,248.60,315.00,,
Pedro Corto (D.M.),6891.00,146.30,47.00,,
Sabaneta (D.M.),5621.00,480.40,12.00,,
Sabana Alta (D.M.),3241.00,31.40,103.00,,
El Rosario (D.M.),7426.00,204.90,36.00,,
Hato del Padre (D.M.),5811.00,58.80,99.00,,
Guanito (D.M.),3670.00,83.30,44.00,,
La Jagua (D.M.),3855.00,69.20,56.00,,
Las Maguanas-Hato Nuevo (D.M.),5192.00,72.10,72.00,,
Las Charcas de María Nova (D.M.),3166.00,86.80,36.00,,
Las Zanjas (D.M.),8991.00,246.00,37.00,,
Municipio Bohechío,9685.00,406.10,24.00,,
Bohechío,2394.00,1.50,1625.00,,
Arroyo Cano (D.M.),3109.00,61.30,51.00,,
Yaque (D.M.),4182.00,343.30,12.00,,
Municipio El Cercado,20843.00,278.00,75.00,,
El Cercado,13611.00,169.60,80.00,,
Derrumbadero (D.M.),4918.00,62.80,78.00,,
Batista (D.M.),2314.00,45.60,51.00,,
Municipio Juan de Herrera,13062.00,92.90,141.00,,
Juan de Herrera,8235.00,46.50,177.00,,
Jínova (D.M.),4827.00,46.40,104.00,,
Municipio Las Matas de Farfán,44163.00,637.10,69.00,,
Las Matas de Farfán,34481.00,350.30,98.00,,
Matayaya (D.M.),4267.00,115.80,37.00,,
Carrera de Yeguas (D.M.),5415.00,170.90,32.00,,
Municipio Vallejuelo,12403.00,221.70,56.00,,
Vallejuelo,9725.00,151.50,64.00,,
Jorjillo (D.M.),2678.00,70.20,38.00,,
Región Yuma,606323.00,5439.00,111.00,,
Provincia El Seibo,87680.00,1788.40,49.00,,
Municipio El Seibo,66867.00,1344.60,50.00,,
El Seibo,46285.00,886.30,52.00,,
Pedro Sánchez (D.M.),4245.00,117.10,36.00,,
San Francisco-Vicentillo (D.M.),4595.00,200.30,23.00,,
Santa Lucía (D.M.),11742.00,141.00,83.00,,
Municipio Miches,20813.00,443.80,47.00,,
Miches,10152.00,93.60,108.00,,
El Cedro (D.M.),7539.00,285.80,26.00,,
La Gina (D.M.),3122.00,64.40,48.00,,
Provincia La Altagracia,273210.00,2998.40,91.00,,
Municipio Higüey,251243.00,2017.30,125.00,,
Higüey,168501.00,907.70,186.00,,
Las Lagunas de Nisibón (D.M.),9831.00,315.20,31.00,,
La otra Banda (D.M.),28929.00,318.90,91.00,,
Verón Punta Cana (D.M.),43982.00,475.30,93.00,,
Municipio San Rafael del Yuma,21967.00,981.20,22.00,,
San Rafael del Yuma,17886.00,530.80,34.00,,
Boca de Yuma (D.M.),1821.00,232.00,8.00,,
Bayahíbe (D.M.),2260.00,218.40,10.00,,
Provincia La Romana,245433.00,652.10,376.00,,
Municipio La Romana,139671.00,272.20,513.00,,
La Romana,130426.00,267.80,487.00,,
Caleta (D.M.),9245.00,4.50,2073.00,,
Municipio Guaymate,16558.00,262.30,63.00,,
Guaymate,16558.00,262.30,63.00,,
Municipio Villa Hermosa,89204.00,117.60,758.00,,
