province,year,week,ndvi_mean,lst_day_mean,lst_night_mean
26 Santiago Rodríguez,2015,3,,,
27 Valverde,2015,3,,,
28 Monseñor Nouel,2015,3,,,
29 Monte Plata,2015,3,,,
30 Hato Mayor,2015,3,,,
31 San José de Ocoa,2015,3,,,
32 Santo Domingo,2015,3,,,
01 Distrito Nacional,2015,4,,,
02 Azua,2015,4,,,
03 Baoruco,2015,4,,,
04 Barahona,2015,4,,,
05 Dajabón,2015,4,,,
06 Duarte,2015,4,,,
07 Elías Piña,2015,4,,,
08 El Seibo,2015,4,,,
09 Espaillat,2015,4,,,
10 Independencia,2015,4,,,
11 La Altagracia,2015,4,,,
12 La Romana,2015,4,,,
13 La Vega,2015,4,,,
14 María Trinidad Sánchez,2015,4,,,
15 Monte Cristi,2015,4,,,
16 Pedernales,2015,4,,,
17 Peravia,2015,4,,,
18 Puerto Plata,2015,4,,,
19 Hermanas Mirabal,2015,4,,,
20 Samaná,2015,4,,,
21 San Cristóbal,2015,4,,,
22 San Juan,2015,4,,,
23 San Pedro de Macorís,2015,4,,,
24 Sánchez Ramírez,2015,4,,,
25 Santiago,2015,4,,,
26 Santiago Rodríguez,2015,4,,,
27 Valverde,2015,4,,,
28 Monseñor Nouel,2015,4,,,
29 Monte Plata,2015,4,,,
30 Hato Mayor,2015,4,,,
31 San José de Ocoa,2015,4,,,
32 Santo Domingo,2015,4,,,
01 Distrito Nacional,2015,5,,,
02 Azua,2015,5,,,
03 Baoruco,2015,5,,,
04 Barahona,2015,5,,,
05 Dajabón,2015,5,,,
06 Duarte,2015,5,,,
07 Elías Piña,2015,5,,,
08 El Seibo,2015,5,,,
09 Espaillat,2015,5,,,
10 Independencia,2015,5,,,
11 La Altagracia,2015,5,,,
12 La Romana,2015,5,,,
13 La Vega,2015,5,,,
14 María Trinidad Sánchez,2015,5,,,
15 Monte Cristi,2015,5,,,
16 Pedernales,2015,5,,,
17 Peravia,2015,5,,,
18 Puerto Plata,2015,5,,,
19 Hermanas Mirabal,2015,5,,,
20 Samaná,2015,5,,,
21 San Cristóbal,2015,5,,,
22 San Juan,2015,5,,,
23 San Pedro de Macorís,2015,5,,,
24 Sánchez Ramírez,2015,5,,,
25 Santiago,2015,5,,,
26 Santiago Rodríguez,2015,5,,,
27 Valverde,2015,5,,,
28 Monseñor Nouel,2015,5,,,
29 Monte Plata,2015,5,,,
30 Hato Mayor,2015,5,,,
31 San José de Ocoa,2015,5,,,
32 Santo Domingo,2015,5,,,
01 Distrito Nacional,2015,6,,,
02 Azua,2015,6,,,
03 Baoruco,2015,6,,,
04 Barahona,2015,6,,,
05 Dajabón,2015,6,,,
06 Duarte,2015,6,,,
07 Elías Piña,2015,6,,,
08 El Seibo,2015,6,,,
09 Espaillat,2015,6,,,
10 Independencia,2015,6,,,
11 La Altagracia,2015,6,,,
12 La Romana,2015,6,,,
13 La Vega,2015,6,,,
14 María Trinidad Sánchez,2015,6,,,
15 Monte Cristi,2015,6,,,
16 Pedernales,2015,6,,,
17 Peravia,2015,6,,,
18 Puerto Plata,2015,6,,,
19 Hermanas Mirabal,2015,6,,,
20 Samaná,2015,6,,,
21 San Cristóbal,2015,6,,,
22 San Juan,2015,6,,,
23 San Pedro de Macorís,2015,6,,,
24 Sánchez Ramírez,2015,6,,,
25 Santiago,2015,6,,,
26 Santiago Rodríguez,2015,6,,,
27 Valverde,2015,6,,,
28 Monseñor Nouel,2015,6,,,
29 Monte Plata,2015,6,,,
30 Hato Mayor,2015,6,,,
31 San José de Ocoa,2015,6,,,
32 Santo Domingo,2015,6,,,
01 Distrito Nacional,2015,7,,,
02 Azua,2015,7,,,
03 Baoruco,2015,7,,,
04 Barahona,2015,7,,,
05 Dajabón,2015,7,,,
06 Duarte,2015,7,,,
07 Elías Piña,2015,7,,,
08 El Seibo,2015,7,,,
09 Espaillat,2015,7,,,
10 Independencia,2015,7,,,
11 La Altagracia,2015,7,,,
12 La Romana,2015,7,,,
13 La Vega,2015,7,,,
14 María Trinidad Sánchez,2015,7,,,
15 Monte Cristi,2015,7,,,
16 Pedernales,2015,7,,,
17 Peravia,2015,7,,,
18 Puerto Plata,2015,7,,,
19 Hermanas Mirabal,2015,7,,,
20 Samaná,2015,7,,,
21 San Cristóbal,2015,7,,,
22 San Juan,2015,7,,,
23 San Pedro de Macorís,2015,7,,,
24 Sánchez Ramírez,2015,7,,,
25 Santiago,2015,7,,,
26 Santiago Rodríguez,2015,7,,,
27 Valverde,2015,7,,,
28 Monseñor Nouel,2015,7,,,
29 Monte Plata,2015,7,,,
30 Hato Mayor,2015,7,,,
31 San José de Ocoa,2015,7,,,
32 Santo Domingo,2015,7,,,
01 Distrito Nacional,2015,8,,,
02 Azua,2015,8,,,
03 Baoruco,2015,8,,,
04 Barahona,2015,8,,,
05 Dajabón,2015,8,,,
06 Duarte,2015,8,,,
07 Elías Piña,2015,8,,,
08 El Seibo,2015,8,,,
09 Espaillat,2015,8,,,
10 Independencia,2015,8,,,
11 La Altagracia,2015,8,,,
12 La Romana,2015,8,,,
13 La Vega,2015,8,,,
14 María Trinidad Sánchez,2015,8,,,
15 Monte Cristi,2015,8,,,
16 Pedernales,2015,8,,,
17 Peravia,2015,8,,,
18 Puerto Plata,2015,8,,,
19 Hermanas Mirabal,2015,8,,,
20 Samaná,2015,8,,,
21 San Cristóbal,2015,8,,,
22 San Juan,2015,8,,,
23 San Pedro de Macorís,2015,8,,,
24 Sánchez Ramírez,2015,8,,,
25 Santiago,2015,8,,,
26 Santiago Rodríguez,2015,8,,,
27 Valverde,2015,8,,,
28 Monseñor Nouel,2015,8,,,
29 Monte Plata,2015,8,,,
30 Hato Mayor,2015,8,,,
31 San José de Ocoa,2015,8,,,
32 Santo Domingo,2015,8,,,
01 Distrito Nacional,2015,9,,,
02 Azua,2015,9,,,
03 Baoruco,2015,9,,,
04 Barahona,2015,9,,,
05 Dajabón,2015,9,,,
06 Duarte,2015,9,,,
07 Elías Piña,2015,9,,,
08 El Seibo,2015,9,,,
09 Espaillat,2015,9,,,
10 Independencia,2015,9,,,
11 La Altagracia,2015,9,,,
12 La Romana,2015,9,,,
13 La Vega,2015,9,,,
14 María Trinidad Sánchez,2015,9,,,
15 Monte Cristi,2015,9,,,
16 Pedernales,2015,9,,,
17 Peravia,2015,9,,,
18 Puerto Plata,2015,9,,,
19 Hermanas Mirabal,2015,9,,,
20 Samaná,2015,9,,,
21 San Cristóbal,2015,9,,,
22 San Juan,2015,9,,,
23 San Pedro de Macorís,2015,9,,,
24 Sánchez Ramírez,2015,9,,,
25 Santiago,2015,9,,,
26 Santiago Rodríguez,2015,9,,,
27 Valverde,2015,9,,,
28 Monseñor Nouel,2015,9,,,
29 Monte Plata,2015,9,,,
30 Hato Mayor,2015,9,,,
31 San José de Ocoa,2015,9,,,
32 Santo Domingo,2015,9,,,
01 Distrito Nacional,2015,10,,,
02 Azua,2015,10,,,
03 Baoruco,2015,10,,,
04 Barahona,2015,10,,,
05 Dajabón,2015,10,,,
06 Duarte,2015,10,,,
07 Elías Piña,2015,10,,,
08 El Seibo,2015,10,,,
09 Espaillat,2015,10,,,
10 Independencia,2015,10,,,
11 La Altagracia,2015,10,,,
12 La Romana,2015,10,,,
13 La Vega,2015,10,,,
14 María Trinidad Sánchez,2015,10,,,
15 Monte Cristi,2015,10,,,
16 Pedernales,2015,10,,,
17 Peravia,2015,10,,,
18 Puerto Plata,2015,10,,,
19 Hermanas Mirabal,2015,10,,,
20 Samaná,2015,10,,,
21 San Cristóbal,2015,10,,,
22 San Juan,2015,10,,,
23 San Pedro de Macorís,2015,10,,,
24 Sánchez Ramírez,2015,10,,,
25 Santiago,2015,10,,,
26 Santiago Rodríguez,2015,10,,,
27 Valverde,2015,10,,,
28 Monseñor Nouel,2015,10,,,
29 Monte Plata,2015,10,,,
30 Hato Mayor,2015,10,,,
31 San José de Ocoa,2015,10,,,
32 Santo Domingo,2015,10,,,
01 Distrito Nacional,2015,11,,,
02 Azua,2015,11,,,
03 Baoruco,2015,11,,,
04 Barahona,2015,11,,,
05 Dajabón,2015,11,,,
06 Duarte,2015,11,,,
07 Elías Piña,2015,11,,,
08 El Seibo,2015,11,,,
09 Espaillat,2015,11,,,
10 Independencia,2015,11,,,
11 La Altagracia,2015,11,,,
12 La Romana,2015,11,,,
13 La Vega,2015,11,,,
14 María Trinidad Sánchez,2015,11,,,
15 Monte Cristi,2015,11,,,
16 Pedernales,2015,11,,,
17 Peravia,2015,11,,,
18 Puerto Plata,2015,11,,,
19 Hermanas Mirabal,2015,11,,,
20 Samaná,2015,11,,,
21 San Cristóbal,2015,11,,,
22 San Juan,2015,11,,,
23 San Pedro de Macorís,2015,11,,,
24 Sánchez Ramírez,2015,11,,,
25 Santiago,2015,11,,,
26 Santiago Rodríguez,2015,11,,,
27 Valverde,2015,11,,,
28 Monseñor Nouel,2015,11,,,
29 Monte Plata,2015,11,,,
30 Hato Mayor,2015,11,,,
31 San José de Ocoa,2015,11,,,
32 Santo Domingo,2015,11,,,
01 Distrito Nacional,2015,12,,,
02 Azua,2015,12,,,
03 Baoruco,2015,12,,,
04 Barahona,2015,12,,,
05 Dajabón,2015,12,,,
06 Duarte,2015,12,,,
07 Elías Piña,2015,12,,,
08 El Seibo,2015,12,,,
09 Espaillat,2015,12,,,
10 Independencia,2015,12,,,
11 La Altagracia,2015,12,,,
12 La Romana,2015,12,,,
13 La Vega,2015,12,,,
14 María Trinidad Sánchez,2015,12,,,
15 Monte Cristi,2015,12,,,
16 Pedernales,2015,12,,,
17 Peravia,2015,12,,,
18 Puerto Plata,2015,12,,,
19 Hermanas Mirabal,2015,12,,,
20 Samaná,2015,12,,,
21 San Cristóbal,2015,12,,,
22 San Juan,2015,12,,,
23 San Pedro de Macorís,2015,12,,,
24 Sánchez Ramírez,2015,12,,,
25 Santiago,2015,12,,,
26 Santiago Rodríguez,2015,12,,,
27 Valverde,2015,12,,,
28 Monseñor Nouel,2015,12,,,
29 Monte Plata,2015,12,,,
30 Hato Mayor,2015,12,,,
31 San José de Ocoa,2015,12,,,
32 Santo Domingo,2015,12,,,
01 Distrito Nacional,2015,13,,,
02 Azua,2015,13,,,
03 Baoruco,2015,13,,,
04 Barahona,2015,13,,,
05 Dajabón,2015,13,,,
06 Duarte,2015,13,,,
07 Elías Piña,2015,13,,,
08 El Seibo,2015,13,,,
09 Espaillat,2015,13,,,
10 Independencia,2015,13,,,
11 La Altagracia,2015,13,,,
12 La Romana,2015,13,,,
13 La Vega,2015,13,,,
14 María Trinidad Sánchez,2015,13,,,
15 Monte Cristi,2015,13,,,
16 Pedernales,2015,13,,,
17 Peravia,2015,13,,,
18 Puerto Plata,2015,13,,,
19 Hermanas Mirabal,2015,13,,,
20 Samaná,2015,13,,,
21 San Cristóbal,2015,13,,,
22 San Juan,2015,13,,,
23 San Pedro de Macorís,2015,13,,,
24 Sánchez Ramírez,2015,13,,,
25 Santiago,2015,13,,,
26 Santiago Rodríguez,2015,13,,,
27 Valverde,2015,13,,,
28 Monseñor Nouel,2015,13,,,
29 Monte Plata,2015,13,,,
30 Hato Mayor,2015,13,,,
31 San José de Ocoa,2015,13,,,
32 Santo Domingo,2015,13,,,
01 Distrito Nacional,2015,14,,,
02 Azua,2015,14,,,
03 Baoruco,2015,14,,,
04 Barahona,2015,14,,,
05 Dajabón,2015,14,,,
06 Duarte,2015,14,,,
07 Elías Piña,2015,14,,,
08 El Seibo,2015,14,,,
09 Espaillat,2015,14,,,
10 Independencia,2015,14,,,
11 La Altagracia,2015,14,,,
12 La Romana,2015,14,,,
13 La Vega,2015,14,,,
14 María Trinidad Sánchez,2015,14,,,
15 Monte Cristi,2015,14,,,
16 Pedernales,2015,14,,,
17 Peravia,2015,14,,,
18 Puerto Plata,2015,14,,,
19 Hermanas Mirabal,2015,14,,,
20 Samaná,2015,14,,,
21 San Cristóbal,2015,14,,,
22 San Juan,2015,14,,,
23 San Pedro de Macorís,2015,14,,,
24 Sánchez Ramírez,2015,14,,,
25 Santiago,2015,14,,,
26 Santiago Rodríguez,2015,14,,,
27 Valverde,2015,14,,,
28 Monseñor Nouel,2015,14,,,
29 Monte Plata,2015,14,,,
30 Hato Mayor,2015,14,,,
31 San José de Ocoa,2015,14,,,
32 Santo Domingo,2015,14,,,
01 Distrito Nacional,2015,15,,,
02 Azua,2015,15,,,
03 Baoruco,2015,15,,,
04 Barahona,2015,15,,,
05 Dajabón,2015,15,,,
06 Duarte,2015,15,,,
07 Elías Piña,2015,15,,,
08 El Seibo,2015,15,,,
09 Espaillat,2015,15,,,
10 Independencia,2015,15,,,
11 La Altagracia,2015,15,,,
12 La Romana,2015,15,,,
13 La Vega,2015,15,,,
14 María Trinidad Sánchez,2015,15,,,
15 Monte Cristi,2015,15,,,
16 Pedernales,2015,15,,,
17 Peravia,2015,15,,,
18 Puerto Plata,2015,15,,,
19 Hermanas Mirabal,2015,15,,,
20 Samaná,2015,15,,,
21 San Cristóbal,2015,15,,,
22 San Juan,2015,15,,,
23 San Pedro de Macorís,2015,15,,,
24 Sánchez Ramírez,2015,15,,,
25 Santiago,2015,15,,,
26 Santiago Rodríguez,2015,15,,,
27 Valverde,2015,15,,,
28 Monseñor Nouel,2015,15,,,
29 Monte Plata,2015,15,,,
30 Hato Mayor,2015,15,,,
31 San José de Ocoa,2015,15,,,
32 Santo Domingo,2015,15,,,
01 Distrito Nacional,2015,16,,,
02 Azua,2015,16,,,
03 Baoruco,2015,16,,,
04 Barahona,2015,16,,,
05 Dajabón,2015,16,,,
06 Duarte,2015,16,,,
07 Elías Piña,2015,16,,,
08 El Seibo,2015,16,,,
09 Espaillat,2015,16,,,
10 Independencia,2015,16,,,
11 La Altagracia,2015,16,,,
12 La Romana,2015,16,,,
13 La Vega,2015,16,,,
14 María Trinidad Sánchez,2015,16,,,
15 Monte Cristi,2015,16,,,
16 Pedernales,2015,16,,,
17 Peravia,2015,16,,,
18 Puerto Plata,2015,16,,,
19 Hermanas Mirabal,2015,16,,,
20 Samaná,2015,16,,,
21 San Cristóbal,2015,16,,,
22 San Juan,2015,16,,,
23 San Pedro de Macorís,2015,16,,,
24 Sánchez Ramírez,2015,16,,,
25 Santiago,2015,16,,,
26 Santiago Rodríguez,2015,16,,,
27 Valverde,2015,16,,,
28 Monseñor Nouel,2015,16,,,
29 Monte Plata,2015,16,,,
30 Hato Mayor,2015,16,,,
31 San José de Ocoa,2015,16,,,
32 Santo Domingo,2015,16,,,
01 Distrito Nacional,2015,17,,,
02 Azua,2015,17,,,
03 Baoruco,2015,17,,,
04 Barahona,2015,17,,,
05 Dajabón,2015,17,,,
06 Duarte,2015,17,,,
07 Elías Piña,2015,17,,,
08 El Seibo,2015,17,,,
09 Espaillat,2015,17,,,
10 Independencia,2015,17,,,
11 La Altagracia,2015,17,,,
12 La Romana,2015,17,,,
13 La Vega,2015,17,,,
14 María Trinidad Sánchez,2015,17,,,
15 Monte Cristi,2015,17,,,
16 Pedernales,2015,17,,,
17 Peravia,2015,17,,,
18 Puerto Plata,2015,17,,,
19 Hermanas Mirabal,2015,17,,,
20 Samaná,2015,17,,,
21 San Cristóbal,2015,17,,,
22 San Juan,2015,17,,,
23 San Pedro de Macorís,2015,17,,,
24 Sánchez Ramírez,2015,17,,,
25 Santiago,2015,17,,,
26 Santiago Rodríguez,2015,17,,,
27 Valverde,2015,17,,,
28 Monseñor Nouel,2015,17,,,
29 Monte Plata,2015,17,,,
30 Hato Mayor,2015,17,,,
31 San José de Ocoa,2015,17,,,
32 Santo Domingo,2015,17,,,
01 Distrito Nacional,2015,18,,,
02 Azua,2015,18,,,
03 Baoruco,2015,18,,,
04 Barahona,2015,18,,,
05 Dajabón,2015,18,,,
06 Duarte,2015,18,,,
07 Elías Piña,2015,18,,,
08 El Seibo,2015,18,,,
09 Espaillat,2015,18,,,
10 Independencia,2015,18,,,
11 La Altagracia,2015,18,,,
12 La Romana,2015,18,,,
13 La Vega,2015,18,,,
14 María Trinidad Sánchez,2015,18,,,
15 Monte Cristi,2015,18,,,
16 Pedernales,2015,18,,,
17 Peravia,2015,18,,,
18 Puerto Plata,2015,18,,,
19 Hermanas Mirabal,2015,18,,,
20 Samaná,2015,18,,,
21 San Cristóbal,2015,18,,,
22 San Juan,2015,18,,,
23 San Pedro de Macorís,2015,18,,,
24 Sánchez Ramírez,2015,18,,,
25 Santiago,2015,18,,,
26 Santiago Rodríguez,2015,18,,,
27 Valverde,2015,18,,,
28 Monseñor Nouel,2015,18,,,
29 Monte Plata,2015,18,,,
30 Hato Mayor,2015,18,,,
31 San José de Ocoa,2015,18,,,
32 Santo Domingo,2015,18,,,
01 Distrito Nacional,2015,19,,,
02 Azua,2015,19,,,
03 Baoruco,2015,19,,,
04 Barahona,2015,19,,,
05 Dajabón,2015,19,,,
06 Duarte,2015,19,,,
07 Elías Piña,2015,19,,,
08 El Seibo,2015,19,,,
09 Espaillat,2015,19,,,
10 Independencia,2015,19,,,
11 La Altagracia,2015,19,,,
12 La Romana,2015,19,,,
13 La Vega,2015,19,,,
14 María Trinidad Sánchez,2015,19,,,
15 Monte Cristi,2015,19,,,
16 Pedernales,2015,19,,,
17 Peravia,2015,19,,,
18 Puerto Plata,2015,19,,,
19 Hermanas Mirabal,2015,19,,,
20 Samaná,2015,19,,,
21 San Cristóbal,2015,19,,,
22 San Juan,2015,19,,,
23 San Pedro de Macorís,2015,19,,,
24 Sánchez Ramírez,2015,19,,,
25 Santiago,2015,19,,,
26 Santiago Rodríguez,2015,19,,,
27 Valverde,2015,19,,,
28 Monseñor Nouel,2015,19,,,
29 Monte Plata,2015,19,,,
30 Hato Mayor,2015,19,,,
31 San José de Ocoa,2015,19,,,
32 Santo Domingo,2015,19,,,
01 Distrito Nacional,2015,20,,,
02 Azua,2015,20,,,
03 Baoruco,2015,20,,,
04 Barahona,2015,20,,,
05 Dajabón,2015,20,,,
06 Duarte,2015,20,,,
07 Elías Piña,2015,20,,,
08 El Seibo,2015,20,,,
09 Espaillat,2015,20,,,
10 Independencia,2015,20,,,
11 La Altagracia,2015,20,,,
12 La Romana,2015,20,,,
13 La Vega,2015,20,,,
14 María Trinidad Sánchez,2015,20,,,
15 Monte Cristi,2015,20,,,
16 Pedernales,2015,20,,,
17 Peravia,2015,20,,,
18 Puerto Plata,2015,20,,,
19 Hermanas Mirabal,2015,20,,,
20 Samaná,2015,20,,,
21 San Cristóbal,2015,20,,,
22 San Juan,2015,20,,,
23 San Pedro de Macorís,2015,20,,,
24 Sánchez Ramírez,2015,20,,,
25 Santiago,2015,20,,,
26 Santiago Rodríguez,2015,20,,,
27 Valverde,2015,20,,,
28 Monseñor Nouel,2015,20,,,
29 Monte Plata,2015,20,,,
30 Hato Mayor,2015,20,,,
31 San José de Ocoa,2015,20,,,
32 Santo Domingo,2015,20,,,
01 Distrito Nacional,2015,21,,,
02 Azua,2015,21,,,
03 Baoruco,2015,21,,,
04 Barahona,2015,21,,,
05 Dajabón,2015,21,,,
06 Duarte,2015,21,,,
07 Elías Piña,2015,21,,,
08 El Seibo,2015,21,,,
09 Espaillat,2015,21,,,
10 Independencia,2015,21,,,
11 La Altagracia,2015,21,,,
12 La Romana,2015,21,,,
13 La Vega,2015,21,,,
14 María Trinidad Sánchez,2015,21,,,
15 Monte Cristi,2015,21,,,
16 Pedernales,2015,21,,,
17 Peravia,2015,21,,,
18 Puerto Plata,2015,21,,,
19 Hermanas Mirabal,2015,21,,,
20 Samaná,2015,21,,,
21 San Cristóbal,2015,21,,,
22 San Juan,2015,21,,,
23 San Pedro de Macorís,2015,21,,,
24 Sánchez Ramírez,2015,21,,,
25 Santiago,2015,21,,,
26 Santiago Rodríguez,2015,21,,,
27 Valverde,2015,21,,,
28 Monseñor Nouel,2015,21,,,
29 Monte Plata,2015,21,,,
30 Hato Mayor,2015,21,,,
31 San José de Ocoa,2015,21,,,
32 Santo Domingo,2015,21,,,
01 Distrito Nacional,2015,22,,,
02 Azua,2015,22,,,
03 Baoruco,2015,22,,,
04 Barahona,2015,22,,,
05 Dajabón,2015,22,,,
06 Duarte,2015,22,,,
07 Elías Piña,2015,22,,,
08 El Seibo,2015,22,,,
09 Espaillat,2015,22,,,
10 Independencia,2015,22,,,
11 La Altagracia,2015,22,,,
12 La Romana,2015,22,,,
13 La Vega,2015,22,,,
14 María Trinidad Sánchez,2015,22,,,
15 Monte Cristi,2015,22,,,
16 Pedernales,2015,22,,,
17 Peravia,2015,22,,,
18 Puerto Plata,2015,22,,,
19 Hermanas Mirabal,2015,22,,,
20 Samaná,2015,22,,,
21 San Cristóbal,2015,22,,,
22 San Juan,2015,22,,,
23 San Pedro de Macorís,2015,22,,,
24 Sánchez Ramírez,2015,22,,,
25 Santiago,2015,22,,,
26 Santiago Rodríguez,2015,22,,,
27 Valverde,2015,22,,,
28 Monseñor Nouel,2015,22,,,
29 Monte Plata,2015,22,,,
30 Hato Mayor,2015,22,,,
31 San José de Ocoa,2015,22,,,
32 Santo Domingo,2015,22,,,
01 Distrito Nacional,2015,23,,,
02 Azua,2015,23,,,
03 Baoruco,2015,23,,,
04 Barahona,2015,23,,,
05 Dajabón,2015,23,,,
06 Duarte,2015,23,,,
07 Elías Piña,2015,23,,,
08 El Seibo,2015,23,,,
09 Espaillat,2015,23,,,
10 Independencia,2015,23,,,
11 La Altagracia,2015,23,,,
12 La Romana,2015,23,,,
13 La Vega,2015,23,,,
14 María Trinidad Sánchez,2015,23,,,
15 Monte Cristi,2015,23,,,
16 Pedernales,2015,23,,,
17 Peravia,2015,23,,,
18 Puerto Plata,2015,23,,,
19 Hermanas Mirabal,2015,23,,,
20 Samaná,2015,23,,,
21 San Cristóbal,2015,23,,,
22 San Juan,2015,23,,,
23 San Pedro de Macorís,2015,23,,,
24 Sánchez Ramírez,2015,23,,,
25 Santiago,2015,23,,,
26 Santiago Rodríguez,2015,23,,,
27 Valverde,2015,23,,,
28 Monseñor Nouel,2015,23,,,
29 Monte Plata,2015,23,,,
30 Hato Mayor,2015,23,,,
31 San José de Ocoa,2015,23,,,
32 Santo Domingo,2015,23,,,
01 Distrito Nacional,2015,24,,,
02 Azua,2015,24,,,
03 Baoruco,2015,24,,,
04 Barahona,2015,24,,,
05 Dajabón,2015,24,,,
06 Duarte,2015,24,,,
07 Elías Piña,2015,24,,,
08 El Seibo,2015,24,,,
09 Espaillat,2015,24,,,
10 Independencia,2015,24,,,
11 La Altagracia,2015,24,,,
12 La Romana,2015,24,,,
13 La Vega,2015,24,,,
14 María Trinidad Sánchez,2015,24,,,
15 Monte Cristi,2015,24,,,
16 Pedernales,2015,24,,,
17 Peravia,2015,24,,,
18 Puerto Plata,2015,24,,,
19 Hermanas Mirabal,2015,24,,,
20 Samaná,2015,24,,,
21 San Cristóbal,2015,24,,,
22 San Juan,2015,24,,,
23 San Pedro de Macorís,2015,24,,,
24 Sánchez Ramírez,2015,24,,,
25 Santiago,2015,24,,,
26 Santiago Rodríguez,2015,24,,,
27 Valverde,2015,24,,,
28 Monseñor Nouel,2015,24,,,
29 Monte Plata,2015,24,,,
30 Hato Mayor,2015,24,,,
31 San José de Ocoa,2015,24,,,
32 Santo Domingo,2015,24,,,
01 Distrito Nacional,2015,25,,,
02 Azua,2015,25,,,
03 Baoruco,2015,25,,,
04 Barahona,2015,25,,,
05 Dajabón,2015,25,,,
06 Duarte,2015,25,,,
07 Elías Piña,2015,25,,,
08 El Seibo,2015,25,,,
09 Espaillat,2015,25,,,
10 Independencia,2015,25,,,
11 La Altagracia,2015,25,,,
12 La Romana,2015,25,,,
13 La Vega,2015,25,,,
14 María Trinidad Sánchez,2015,25,,,
15 Monte Cristi,2015,25,,,
16 Pedernales,2015,25,,,
17 Peravia,2015,25,,,
18 Puerto Plata,2015,25,,,
19 Hermanas Mirabal,2015,25,,,
20 Samaná,2015,25,,,
21 San Cristóbal,2015,25,,,
22 San Juan,2015,25,,,
23 San Pedro de Macorís,2015,25,,,
24 Sánchez Ramírez,2015,25,,,
25 Santiago,2015,25,,,
26 Santiago Rodríguez,2015,25,,,
27 Valverde,2015,25,,,
28 Monseñor Nouel,2015,25,,,
29 Monte Plata,2015,25,,,
30 Hato Mayor,2015,25,,,
31 San José de Ocoa,2015,25,,,
32 Santo Domingo,2015,25,,,
01 Distrito Nacional,2015,26,,,
02 Azua,2015,26,,,
03 Baoruco,2015,26,,,
04 Barahona,2015,26,,,
05 Dajabón,2015,26,,,
06 Duarte,2015,26,,,
07 Elías Piña,2015,26,,,
08 El Seibo,2015,26,,,
09 Espaillat,2015,26,,,
10 Independencia,2015,26,,,
11 La Altagracia,2015,26,,,
12 La Romana,2015,26,,,
13 La Vega,2015,26,,,
